"TreeID","Site","Canopy.Class","Species","DBH"
"PS1085","PS","Understory","TSCA",15.5
"RH2029","RH","Understory","FAGR",17.9
"RH1003","RH","Overstory","ACRU",28
"RH1061","RH","Middle","QURU",26.9
"GB1026","GB","Overstory","TSCA",68.5
"GE2089","GE","Overstory","QURU",38.3
"TP1053","HF","Overstory","QURU",44
"TP1022","HF","Overstory","QURU",36.5
"TP1065","HF","Middle","QURU",24.6
"TP1017","HF","Overstory","QURU",40.6
"TP1054","HF","Overstory","QURU",32.8
"TP1066","HF","Overstory","QURU",35.6
"TP1039","HF","Middle","QURU",53
"TP1062","HF","Overstory","QURU",36.9
"HOW3042","HO","Overstory","TSCA",34.8
"LF2050","LF","Overstory","QURU",49.6
"LF2019","LF","Understory","ACRU",23.2
"LF2034","LF","Overstory","QURU",55.9
"LF2008","LF","Overstory","QURU",53.8
"LF3040","LF","Overstory","QURU",41.9
"LF2010","LF","Overstory","QURU",58.4
"LF3035","LF","Middle","ACRU",27.7
"LF3041","LF","Overstory","QURU",45.4
"NRP4064","NR","Middle","TSCA",31.2
"NRP4051","NR","Middle","TSCA",29.5
"PS1135","PS","Overstory","TSCA",44.7
"RH1098","RH","Overstory","ACRU",34.2
"RH2043","RH","Understory","ACRU",10.4
"TP1034","HF","Overstory","QURU",47.3
"LF1020","LF","Overstory","QURU",69
"LF2026","LF","Overstory","QURU",50.9
"LF2016","LF","Understory","ACRU",15.7
"LF2001","LF","Middle","ACRU",19.4
"LF2011","LF","Overstory","QURU",38.2
"NRP4082","NR","Understory","TSCA",20
"PS1132","PS","Overstory","TSCA",63.9
"PS1116","PS","Understory","TSCA",11.6
"RH2027","RH","Understory","FAGR",16.4
"RH1015","RH","Overstory","QURU",45.4
"RH1049","RH","Overstory","QURU",46
"GB1045","GB","Overstory","TSCA",32.1
"GB2046","GB","Overstory","FAGR",23.9
"GE3035","GE","Middle","FAGR",17.5
"GE1097","GE","Overstory","QURU",30.5
"HOW3038","HO","Overstory","TSCA",37
"HOW3043","HO","Overstory","TSCA",36.8
"HOW2011","HO","Middle","TSCA",22.5
"LF1039","LF","Understory","ACRU",21.7
"LF2033","LF","Overstory","QURU",42.8
"LF2039","LF","Overstory","QURU",45.4
"LF2024","LF","Understory","ACRU",15.2
"NRP1030","NR","Overstory","ACRU",44.8
"NRP4091","NR","Overstory","TSCA",33
"NRP4138","NR","Understory","TSCA",21.5
"RH2022","RH","Overstory","ACRU",25.2
"RH2092","RH","Middle","ACRU",18.9
"RH2030","RH","Understory","FAGR",21
"RH1085","RH","Middle","ACRU",17.3
"RH1068","RH","Overstory","QURU",41.6
"TP1070","HF","Overstory","QURU",43.7
"HOW3067","HO","Overstory","TSCA",25.7
"HOW2037","HO","Overstory","TSCA",22.7
"LF1040","LF","Overstory","QURU",53.9
"LF1015","LF","Middle","QURU",49.4
"LF2030","LF","Middle","ACRU",20
"LF2037","LF","Middle","ACRU",25.2
"LF2012","LF","Understory","ACRU",12.2
"NRP4088","NR","Overstory","TSCA",50.7
"PS1070","PS","Overstory","TSCA",40.8
"RH2001","RH","Understory","FAGR",10.1
"GE3042","GE","Overstory","ACRU",26
"TP1052","HF","Overstory","QURU",37.3
"TP1050","HF","Middle","QURU",27.1
"HOW3008","HO","Overstory","TSCA",29.3
"HOW3053","HO","Overstory","TSCA",27.3
"LF1032","LF","Overstory","QURU",63.2
"LF3039","LF","Overstory","QURU",36.8
"LF1038","LF","Understory","FAGR",38.8
"LF3033","LF","Overstory","QURU",34.4
"LF3032","LF","Overstory","QURU",48.8
"LF1031","LF","Understory","QURU",28.6
"LF1030","LF","Overstory","QURU",44.6
"LF2038","LF","Overstory","QURU",53.1
"LF2022","LF","Middle","ACRU",21.2
"NRP3027","NR","Middle","FAGR",12.4
"NRP1039","NR","Overstory","FAGR",30
"NRP4139","NR","Overstory","TSCA",40.5
"PS2114","PS","Overstory","TSCA",27.5
"PS2062","PS","Overstory","TSCA",27.9
"RH2023","RH","Understory","FAGR",10
"RH1001","RH","Understory","ACRU",15.3
"RH1034","RH","Middle","ACRU",17.6
"GB2038","GB","Overstory","FAGR",26.8
"GB2061","GB","Overstory","FAGR",42.3
"TP1056","HF","Overstory","QURU",41
"HOW3060","HO","Overstory","TSCA",28
"LF1033","LF","Overstory","QURU",50.6
"LF1009","LF","Overstory","FAGR",33.9
"LF3038","LF","Overstory","QURU",46.7
"NRP4031","NR","Overstory","TSCA",39.5
"PS1108","PS","Understory","TSCA",11.5
"RH2045","RH","Understory","FAGR",16.7
"RH1056","RH","Overstory","QURU",28.5
"RH1072","RH","Overstory","QURU",44
"RH1092","RH","Middle","ACRU",20.5
"TP1057","HF","Overstory","QURU",38.5
"HOW2085","HO","Middle","TSCA",15.7
"HOW2038","HO","Overstory","TSCA",23.1
"HOW2008","HO","Overstory","TSCA",24.7
"LF2047","LF","Middle","QURU",33.5
"LF1041","LF","Overstory","QURU",43.2
"LF3031","LF","Overstory","QURU",51
"LF1005","LF","Understory","ACRU",15.6
"LF1010","LF","Overstory","ACRU",29.4
"LF2031","LF","Understory","ACRU",10.8
"NRP4076","NR","Middle","TSCA",27.9
"PS2030","PS","Overstory","TSCA",31.8
"RH1062","RH","Overstory","QURU",37.9
"TP1011","HF","Understory","FAGR",14.3
"LF2028","LF","Middle","ACRU",22.2
"LF2036","LF","Overstory","QURU",76.5
"LF2042","LF","Overstory","QURU",50.5
"HOW3058","HO","Overstory","TSCA",27.6
"LF1012","LF","Overstory","QURU",59
"NRP4004","NR","Overstory","TSCA",26.5
"PS1069","PS","Middle","TSCA",22.4
"PS2139","PS","Overstory","TSCA",37.7
"RH2055","RH","Overstory","QURU",34.3
"GB2052","GB","Understory","FAGR",27.5
"TP1055","HF","Understory","QURU",27.5
"LF1037","LF","Overstory","QURU",39.5
"NRP4008","NR","Overstory","TSCA",22.5
"NRP4058","NR","Overstory","TSCA",32.5
"RH2016","RH","Overstory","ACRU",31.4
"RH2005","RH","Overstory","QURU",34.4
"GE2092","GE","Middle","QURU",20.4
"LF2032","LF","Understory","ACRU",24.5
"LF1043","LF","Understory","ACRU",21
"LF2020","LF","Overstory","QURU",49.4
"LF2025","LF","Overstory","QURU",58.5
"PS2132","PS","Overstory","TSCA",29.3
"PS2126","PS","Middle","TSCA",19.5
"PS1084","PS","Understory","TSCA",14.8
"TP1060","HF","Overstory","QURU",38.1
"HOW3007","HO","Overstory","TSCA",39.8
