CoreID,TreeID,plot.id,Site,tree.number,species,canopy.class,live.dead,dbh,stems,total.cores,core.id,pith.present,pith.yr,inner.present,inner.measured,outer.measured,bark.present,inner.dated,outer.dated,dated,Notes,zombie
HOW1117W,HOW1117,1,HOW,117,,,,,1,2,W,NA,NA,1928,1928,2013,Y,1928,2013,Y,,
HOW1118N,HOW1118,1,HOW,118,,,,,1,2,N,NA,NA,1936,1936,2013,Y,1936,2013,Y,,
HOW1118S,HOW1118,1,HOW,118,,,,,1,2,S,NA,NA,1936,1936,2013,Y,1936,2013,Y,,
HOW1119N,HOW1119,1,HOW,119,,,,,1,2,N,NA,NA,1936,1936,2007,Y,1936,2007,Y,,
HOW1119S,HOW1119,1,HOW,119,,,,,1,2,S,NA,NA,1936,1936,2005,Y,1936,2005,Y,,
HOW1120N,HOW1120,1,HOW,120,,,,,1,2,N,NA,NA,1843,1843,2013,Y,1843,2013,Y,,
HOW1120S,HOW1120,1,HOW,120,,,,,1,2,S,NA,NA,1843,1843,2013,Y,1843,2013,Y,,
HOW1121N,HOW1121,1,HOW,121,,,,,1,2,N,NA,NA,1920,1920,2013,Y,1920,2013,Y,,
HOW1121S,HOW1121,1,HOW,121,,,,,1,2,S,NA,NA,1906,1906,2013,Y,1906,2013,Y,,
HOW1122N,HOW1122,1,HOW,122,,,,,1,2,N,NA,NA,1909,1909,2013,Y,1909,2013,Y,,
HOW1122S,HOW1122,1,HOW,122,,,,,1,2,S,NA,NA,1909,1909,2013,Y,1909,2013,Y,,
HOW1123N,HOW1123,1,HOW,123,,,,,1,2,N,NA,NA,1924,1924,2013,Y,1924,2013,Y,,
HOW1123S,HOW1123,1,HOW,123,,,,,1,2,S,NA,NA,1924,1924,2013,Y,1924,2013,Y,,
HOW1124E,HOW1124,1,HOW,124,,,,,1,2,E,NA,NA,1929,1929,2013,Y,1929,2013,Y,,
HOW1124W,HOW1124,1,HOW,124,,,,,1,2,W,NA,NA,1934,1934,2013,Y,1934,2013,Y,,
HOW1125E,HOW1125,1,HOW,125,,,,,1,2,E,NA,NA,1925,1925,2013,Y,1925,2013,Y,,
HOW1125W,HOW1125,1,HOW,125,,,,,1,2,W,NA,NA,1925,1925,2013,Y,1925,2013,Y,,
HOW1126A,HOW1126,1,HOW,126,,,,,1,2,A,NA,NA,1934,1934,2001,Y,1934,2001,Y,,
HOW1126B,HOW1126,1,HOW,126,,,,,1,2,B,NA,NA,1879,1879,2008,Y,1879,2008,Y,,
HOW1127N,HOW1127,1,HOW,127,,,,,1,2,N,NA,NA,1929,1929,2013,Y,1929,2013,Y,,
HOW1127S,HOW1127,1,HOW,127,,,,,1,2,S,NA,NA,1929,1929,2013,Y,1929,2013,Y,,
HOW1128E,HOW1128,1,HOW,128,,,,,1,2,E,NA,NA,1930,1930,2014,Y,1930,2014,Y,,
HOW1128W,HOW1128,1,HOW,128,,,,,1,2,W,NA,NA,1930,1930,2014,Y,1930,2014,Y,,
HOW1129E,HOW1129,1,HOW,129,,,,,1,2,E,NA,NA,1929,1929,2013,Y,1929,2013,Y,,
HOW1129W,HOW1129,1,HOW,129,,,,,1,2,W,NA,NA,1930,1930,2013,Y,1930,2013,Y,,
HOW1130N,HOW1130,1,HOW,130,,,,,1,2,N,NA,NA,1937,1937,2013,Y,1937,2013,Y,,
HOW1130S,HOW1130,1,HOW,130,,,,,1,2,S,NA,NA,1937,1937,2013,Y,1937,2013,Y,,
HOW1131N,HOW1131,1,HOW,131,,,,,1,2,N,NA,NA,1930,1930,2013,Y,1930,2013,Y,,
HOW1131S,HOW1131,1,HOW,131,,,,,1,2,S,NA,NA,1930,1930,2013,Y,1930,2013,Y,,
HOW1134N,HOW1134,1,HOW,134,,,,,1,2,N,NA,NA,1931,1931,2013,Y,1931,2013,Y,,
HOW1134S,HOW1134,1,HOW,134,,,,,1,2,S,NA,NA,1931,1931,2013,Y,1931,2013,Y,,
HOW2001E,HOW2001,2,HOW,001,,,,,1,2,E,NA,NA,1885,1885,2012,Y,1885,2012,Y,,
HOW2001W,HOW2001,2,HOW,001,,,,,1,2,W,NA,NA,1873,1873,2013,Y,1873,2013,Y,,
