"TreeID","PlotID","Site","Species","Canopy.Class","Live.Dead","DBH..cm.","Stems","Total.Cores","plot","Dated","Pith","Tree","Basal.Area..cm2.","basal.area..m2.ha.","Density..stems.ha.","notes","Distance","Azimuth"
"NWB642","NWB","Niwot","ABLA","C","LIVE",12,1,2,"B","N",NA,NA,NA,NA,NA,NA,NA,NA
"NWB643","NWB","Niwot","PICO","C","LIVE",9.4,1,2,"B","Y",1925,NA,NA,NA,NA,NA,NA,NA
"NWB644","NWB","Niwot","ABLA","C","LIVE",19.1,1,2,"B","Y",1909,NA,NA,NA,NA,NA,NA,NA
"NWB651","NWB","Niwot","ABLA","C","DEAD",16.2,1,2,"B","Y",1790,NA,NA,NA,NA,NA,NA,NA
"NWB652","NWB","Niwot","ABLA","C","LIVE",8.5,1,2,"B","Y",1867.5,NA,NA,NA,NA,NA,NA,NA
"NWB653","NWB","Niwot","ABLA","C","LIVE",13.6,1,2,"B","N",NA,NA,NA,NA,NA,NA,NA,NA
"NWB654","NWB","Niwot","PIEN","C","LIVE",20.3,1,2,"B","Y",1946,NA,NA,NA,NA,NA,NA,NA
"NWB661","NWB","Niwot","ABLA","C","LIVE",20.8,1,2,"B","Y",1872.5,NA,NA,NA,NA,NA,NA,NA
"NWB662","NWB","Niwot","ABLA","C","LIVE",7.9,1,2,"B","Y",1927,NA,NA,NA,NA,NA,NA,NA
"NWB663","NWB","Niwot","ABLA","C","LIVE",9.5,1,2,"B","Y",1920,NA,NA,NA,NA,NA,NA,NA
"NWB664","NWB","Niwot","ABLA","C","LIVE",9.8,1,2,"B","Y",1942,NA,NA,NA,NA,NA,NA,NA
"NWC111","NWC","Niwot","ABLA","C","LIVE",16.2,1,2,"C","Y",1918,NA,NA,NA,NA,NA,NA,NA
"NWC112","NWC","Niwot","ABLA","C","LIVE",22.7,1,2,"C","Y",1857,NA,NA,NA,NA,NA,NA,NA
"NWC113","NWC","Niwot","PICO","C","LIVE",20.3,1,2,"C","Y",1939,NA,NA,NA,NA,NA,NA,NA
"NWC114","NWC","Niwot","PICO","C","LIVE",24.5,1,2,"C","Y",1904,NA,NA,NA,NA,NA,NA,NA
"NWC121","NWC","Niwot","PICO","C","LIVE",19.7,1,2,"C","Y",1939,NA,NA,NA,NA,NA,NA,NA
"NWC122","NWC","Niwot","PICO","C","LIVE",21.3,1,2,"C","Y",1936,NA,NA,NA,NA,NA,NA,NA
"NWC123","NWC","Niwot","PIEN","C","LIVE",11.9,1,2,"C","Y",1941,NA,NA,NA,NA,NA,NA,NA
"NWC124","NWC","Niwot","ABLA","C","LIVE",15.1,1,2,"C","Y",1930,NA,NA,NA,NA,NA,NA,NA
"NWC131","NWC","Niwot","PICO","C","LIVE",23.4,1,2,"C","Y",1930,NA,NA,NA,NA,NA,NA,NA
"NWC132","NWC","Niwot","ABLA","C","LIVE",9.3,1,2,"C","Y",1939,NA,NA,NA,NA,NA,NA,NA
"NWC133","NWC","Niwot","PICO","C","LIVE",12.8,1,2,"C","Y",1937,NA,NA,NA,NA,NA,NA,NA
"NWC134","NWC","Niwot","PICO","C","LIVE",13.9,1,2,"C","Y",1929,NA,NA,NA,NA,NA,NA,NA
"NWC141","NWC","Niwot","PIEN","C","LIVE",7.5,1,2,"C","Y",1913,NA,NA,NA,NA,NA,NA,NA
"NWC142","NWC","Niwot","PIEN","C","LIVE",9.6,1,2,"C","N",NA,NA,NA,NA,NA,NA,NA,NA
"NWC143","NWC","Niwot","PIEN","C","DEAD",9.8,1,2,"C","Y",1926,NA,NA,NA,NA,NA,NA,NA
"NWC144","NWC","Niwot","PIEN","C","LIVE",7.3,1,2,"C","Y",1936,NA,NA,NA,NA,NA,NA,NA
"NWC151","NWC","Niwot","PIEN","C","LIVE",13.2,1,2,"C","Y",1915,NA,NA,NA,NA,NA,NA,NA
"NWC152","NWC","Niwot","PICO","C","LIVE",7.8,1,2,"C","Y",1945,NA,NA,NA,NA,NA,NA,NA
"NWC153","NWC","Niwot","PICO","C","LIVE",18.9,1,2,"C","Y",1930,NA,NA,NA,NA,NA,NA,NA
"NWC154","NWC","Niwot","ABLA","C","LIVE",12.2,1,2,"C","Y",1934,NA,NA,NA,NA,NA,NA,NA
