CoreID,Site,plot.id,tree.number,stems,total.cores,core.id,pith.present,pith.yr,inner.present,inner.measured,outer.measured,bark.present,inner.dated,outer.dated,dated,Notes,zombie,species,canopy.class,live.dead,dbh
HOW1091N,HOW,1,91,1,2,N,NA,NA,1930,1930,2000,Y,1930,2000,Y,NA,NA,PCRU,I,LIVE,13.7
HOW1091S,HOW,1,91,1,2,S,NA,NA,1930,1930,2006,Y,1930,2006,Y,NA,NA,PCRU,I,LIVE,13.7
HOW1092E,HOW,1,92,1,2,E,NA,NA,1937,1937,2011,Y,1937,2011,Y,NA,NA,THOC,S,LIVE,11.6
HOW1092W,HOW,1,92,1,2,W,NA,NA,1946,1946,2009,Y,1946,2009,Y,NA,NA,THOC,S,LIVE,11.6
HOW1093E,HOW,1,93,1,2,E,NA,NA,1937,1937,2013,Y,1937,2013,Y,NA,NA,PCRU,C,LIVE,32
HOW1093W,HOW,1,93,1,2,W,NA,NA,1937,1937,2013,Y,1937,2013,Y,NA,NA,PCRU,C,LIVE,32
HOW1094S,HOW,1,94,1,2,S,NA,NA,1893,1893,2013,Y,1893,2013,Y,NA,NA,TSCA,I,LIVE,37.6
HOW1094W,HOW,1,94,1,2,W,NA,NA,1855,1855,2013,Y,1855,2013,Y,NA,NA,TSCA,I,LIVE,37.6
HOW1095W,HOW,1,95,1,2,W,NA,NA,1940,1940,2013,Y,1940,2013,Y,NA,NA,PCRU,C,LIVE,25.4
HOW1095E,HOW,1,95,1,2,E,NA,NA,1940,1940,2012,Y,1940,2012,Y,NA,NA,PCRU,C,LIVE,25.4
HOW1096S,HOW,1,96,1,2,S,NA,NA,1923,1923,2013,Y,1923,2013,Y,NA,NA,PCRU,C,LIVE,20.9
HOW1096N,HOW,1,96,1,2,N,NA,NA,1923,1923,2013,Y,1923,2013,Y,NA,NA,PCRU,C,LIVE,20.9
HOW1097S,HOW,1,97,1,2,S,NA,NA,1933,1933,2013,Y,1933,2013,Y,NA,NA,PCRU,C,LIVE,20.9
HOW1097N,HOW,1,97,1,2,N,NA,NA,1933,1933,2013,Y,1933,2013,Y,NA,NA,PCRU,C,LIVE,20.9
HOW1098E,HOW,1,98,1,2,E,NA,NA,1868,1868,2007,Y,1868,2007,Y,NA,NA,THOC,I,LIVE,21.2
HOW1098W,HOW,1,98,1,2,W,NA,NA,1868,1868,1996,Y,1868,1996,Y,NA,NA,THOC,I,LIVE,21.2
HOW1099S,HOW,1,99,1,2,S,NA,NA,1872,1872,2013,Y,1872,2013,Y,NA,NA,THOC,I,LIVE,26.2
HOW1099N,HOW,1,99,1,2,N,NA,NA,1872,1872,2013,Y,1872,2013,Y,NA,NA,THOC,I,LIVE,26.2
HOW1100E,HOW,1,100,1,2,E,NA,NA,1900,1900,2013,Y,1900,2013,Y,NA,NA,PCRU,C,LIVE,32.9
HOW1100W,HOW,1,100,1,2,W,NA,NA,1900,1900,2013,Y,1900,2013,Y,NA,NA,PCRU,C,LIVE,32.9
HOW1105N,HOW,1,105,1,2,N,NA,NA,1944,1944,2013,Y,1944,2013,Y,NA,NA,ACRU,I,LIVE,16.4
HOW1105W,HOW,1,105,1,2,W,NA,NA,1933,1933,2013,Y,1933,2013,Y,NA,NA,ACRU,I,LIVE,16.4
HOW1106N,HOW,1,106,1,2,N,NA,NA,1934,1934,2013,Y,1934,2013,Y,NA,NA,PIST,D,LIVE,48.9
HOW1106S,HOW,1,106,1,2,S,NA,NA,1931,1931,2013,Y,1931,2013,Y,NA,NA,PIST,D,LIVE,48.9
HOW1107S,HOW,1,107,1,2,S,NA,NA,1933,1933,2013,Y,1933,2013,Y,NA,NA,PCRU,C,LIVE,21.7
HOW1107N,HOW,1,107,1,2,N,NA,NA,1934,1934,2013,Y,1934,2013,Y,NA,NA,PCRU,C,LIVE,21.7
HOW1110N,HOW,1,110,1,2,N,NA,NA,1940,1940,2013,Y,1940,2013,Y,NA,NA,PCRU,I,LIVE,17
HOW1110S,HOW,1,110,1,2,S,NA,NA,1942,1942,2013,Y,1942,2013,Y,NA,NA,PCRU,I,LIVE,17
HOW1111E,HOW,1,111,1,2,E,NA,NA,1941,1941,2012,Y,1941,2012,Y,NA,NA,PCRU,C,LIVE,15.5
HOW1111W,HOW,1,111,1,2,W,NA,NA,1941,1941,2012,Y,1941,2012,Y,NA,NA,PCRU,C,LIVE,15.5
HOW1112E,HOW,1,112,1,2,E,NA,NA,1930,1930,2013,Y,1930,2013,Y,NA,NA,PIST,D,LIVE,48.4
HOW1112W,HOW,1,112,1,2,W,NA,NA,1931,1931,2013,Y,1931,2013,Y,NA,NA,PIST,D,LIVE,48.4
HOW1114N,HOW,1,114,1,2,N,NA,NA,1936,1936,2004,Y,1936,2004,Y,NA,NA,PCRU,C,LIVE,13.5
HOW1114S,HOW,1,114,1,2,S,NA,NA,1937,1937,2007,Y,1937,2007,Y,NA,NA,PCRU,C,LIVE,13.5
HOW1115N,HOW,1,115,1,2,N,NA,NA,1946,1946,2013,Y,1946,2013,Y,NA,NA,ABBA,SNAG,DEAD,13.6
HOW1115S,HOW,1,115,1,2,S,NA,NA,1946,1946,1991,Y,1946,1991,Y,NA,NA,ABBA,SNAG,DEAD,13.6
HOW1116E,HOW,1,116,1,2,E,NA,NA,1927,1927,2013,Y,1927,2013,Y,NA,NA,ACRU,I,LIVE,18.2
HOW1116W,HOW,1,116,1,2,W,NA,NA,1927,1927,2013,Y,1927,2013,Y,NA,NA,ACRU,I,LIVE,18.2
HOW1117W,HOW,1,117,1,2,W,NA,NA,1928,1928,2013,Y,1928,2013,Y,NA,NA,ACRU,C,LIVE,14.5
HOW1117E,HOW,1,117,1,2,E,NA,NA,1927,1927,2013,Y,1927,2013,Y,NA,NA,ACRU,C,LIVE,14.5
HOW1118N,HOW,1,118,1,2,N,NA,NA,1936,1936,2013,Y,1936,2013,Y,NA,NA,PCRU,C,LIVE,24.6
HOW1118S,HOW,1,118,1,2,S,NA,NA,1936,1936,2013,Y,1936,2013,Y,NA,NA,PCRU,C,LIVE,24.6
HOW1119S,HOW,1,119,1,2,S,NA,NA,1936,1936,2005,Y,1936,2005,Y,NA,NA,PCRU,I,LIVE,17.4
HOW1119N,HOW,1,119,1,2,N,NA,NA,1936,1936,2007,Y,1936,2007,Y,NA,NA,PCRU,I,LIVE,17.4
HOW1120N,HOW,1,120,1,2,N,NA,NA,1843,1843,2013,Y,1843,2013,Y,NA,NA,PCRU,C,LIVE,28.5
HOW1120S,HOW,1,120,1,2,S,NA,NA,1843,1843,2013,Y,1843,2013,Y,NA,NA,PCRU,C,LIVE,28.5
HOW1121N,HOW,1,121,1,2,N,NA,NA,1920,1920,2013,Y,1920,2013,Y,NA,NA,THOC,C,LIVE,16.6
HOW1121S,HOW,1,121,1,2,S,NA,NA,1906,1906,2013,Y,1906,2013,Y,NA,NA,THOC,C,LIVE,16.6
HOW1122S,HOW,1,122,1,2,S,NA,NA,1909,1909,2013,Y,1909,2013,Y,NA,NA,PCRU,C,LIVE,23.4
