"CoreID","TreeID","plot.id","Site","tree.number","Species","Canopy.Class","Live.Dead","DBH..cm.","stems","total.cores","core.id","pith.preset","pith.yr","inner.present","inner.measured","outer.measured","bark.present","inner.dated","outer.dated","dated","Notes","zombie","plot"
"ACB012B","ACB012","ACB","Austin Cary FL",12,"PIPA","C","LIVE",24.4,1,2,"B","N",1921,1925,1926,2014,"Y",1926,2014,"Y",NA,NA,"B"
"ACB013A","ACB013","ACB","Austin Cary FL",13,"PIPA","C","LIVE",29.6,1,2,"A","Y",1934,1934,1935,2014,"Y",1935,2014,"Y",NA,NA,"B"
"ACB013B","ACB013","ACB","Austin Cary FL",13,"PIPA","C","LIVE",29.6,1,2,"B","N",1933,1934,1935,2014,"Y",1935,2014,"Y",NA,NA,"B"
"ACB014A","ACB014","ACB","Austin Cary FL",14,"PIPA","C","LIVE",28.9,1,2,"A","N",1918,1922,1923,1980,"Y",1923,1980,"Y","WOUND",NA,"B"
"ACB014B","ACB014","ACB","Austin Cary FL",14,"PIPA","C","LIVE",28.9,1,2,"B","N",1919,1920,1921,2005,"Y",1921,2005,"Y",NA,"Y","B"
"ACB015A","ACB015","ACB","Austin Cary FL",15,"PIPA","C","LIVE",28.4,1,2,"A","Y",1921,1921,1922,2009,"Y",1922,2009,"Y",NA,"Y","B"
"ACB015B","ACB015","ACB","Austin Cary FL",15,"PIPA","C","LIVE",28.4,1,2,"B","Y",1932,1932,1923,2014,"Y",1923,2014,"Y",NA,NA,"B"
"ACB016A","ACB016","ACB","Austin Cary FL",16,"PIPA","C","LIVE",31.4,1,2,"A","N",1920,1923,1924,2014,"Y",1924,2014,"Y",NA,NA,"B"
"ACB016B","ACB016","ACB","Austin Cary FL",16,"PIPA","C","LIVE",31.4,1,2,"B","Y",1922,1922,1923,2014,"Y",1923,2014,"Y",NA,NA,"B"
"ACB017A","ACB017","ACB","Austin Cary FL",17,"PIPA","C","LIVE",26.7,1,2,"A","Y",1932,1932,1933,2014,"Y",1933,2014,"Y",NA,NA,"B"
"ACB017B","ACB017","ACB","Austin Cary FL",17,"PIPA","C","LIVE",26.7,1,2,"B","Y",1932,1932,1933,2014,"Y",1933,2014,"Y",NA,NA,"B"
"ACB018A","ACB018","ACB","Austin Cary FL",18,"PIPA","C","LIVE",28.8,1,2,"A","N",1935,1938,1939,2014,"Y",1939,2014,"Y",NA,NA,"B"
"ACB018B","ACB018","ACB","Austin Cary FL",18,"PIPA","C","LIVE",28.8,1,2,"B","N",NA,1941,1942,2014,"Y",1942,2014,"Y",NA,NA,"B"
"ACB019A","ACB019","ACB","Austin Cary FL",19,"PIPA","C","LIVE",28.5,1,2,"A","N",1933,1938,1939,2014,"Y",1939,2014,"Y",NA,NA,"B"
"ACB019B","ACB019","ACB","Austin Cary FL",19,"PIPA","C","LIVE",28.5,1,2,"B","Y",1935,1935,1936,2014,"Y",1936,2014,"Y",NA,NA,"B"
"ACB020A","ACB020","ACB","Austin Cary FL",20,"PIPA","C","LIVE",34.9,1,2,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B"
"ACB020B","ACB020","ACB","Austin Cary FL",20,"PIPA","C","LIVE",34.9,1,2,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B"
"ACB021A","ACB021","ACB","Austin Cary FL",21,"PIPA","C","LIVE",29.7,1,2,"A","N",1932,1934,1935,2014,"Y",1935,2014,"Y",NA,NA,"B"
"ACB021B","ACB021","ACB","Austin Cary FL",21,"PIPA","C","LIVE",29.7,1,2,"B","N",1932,1934,1935,2014,"Y",1935,2014,"Y",NA,NA,"B"
"ACB022A","ACB022","ACB","Austin Cary FL",22,"PIPA","C","LIVE",24,1,2,"A","N",1934,1938,1939,2014,"Y",1939,2014,"Y",NA,NA,"B"
"ACB022B","ACB022","ACB","Austin Cary FL",22,"PIPA","C","LIVE",24,1,2,"B","N",1932,1935,1936,2014,"Y",1936,2014,"Y",NA,NA,"B"
"ACB023A","ACB023","ACB","Austin Cary FL",23,"PIPA","C","LIVE",32.6,1,2,"A","N",1925,1925,1926,2010,"Y",NA,NA,"N",NA,NA,"B"
"ACB023B","ACB023","ACB","Austin Cary FL",23,"PIPA","C","LIVE",32.6,1,2,"B","Y",1926,1926,1927,2012,"Y",1927,2012,"Y",NA,"Y","B"
"ACB024A","ACB024","ACB","Austin Cary FL",24,"PIPA","C","LIVE",32.7,1,2,"A","Y",1924,1924,1925,2014,"Y",1925,2014,"Y",NA,NA,"B"
"ACB024B","ACB024","ACB","Austin Cary FL",24,"PIPA","C","LIVE",32.7,1,2,"B","N",1924,1925,1926,2014,"Y",1926,2014,"Y",NA,NA,"B"
"ACB025A","ACB025","ACB","Austin Cary FL",25,"PIPA","C","LIVE",13.6,1,2,"A","N",1936,1944,1945,2014,"Y",NA,NA,"N",NA,NA,"B"
"ACB025B","ACB025","ACB","Austin Cary FL",25,"PIPA","C","LIVE",13.6,1,2,"B","N",1936,1944,1945,2014,"Y",NA,NA,"N",NA,NA,"B"
"ACB026A","ACB026","ACB","Austin Cary FL",26,"PIPA","C","LIVE",35.5,1,2,"A","N",1928,1934,1935,2014,"Y",1935,2014,"Y",NA,NA,"B"
"ACB026B","ACB026","ACB","Austin Cary FL",26,"PIPA","C","LIVE",35.5,1,2,"B","N",1929,1934,1935,2014,"Y",1935,2014,"Y",NA,NA,"B"
"ACB027A","ACB027","ACB","Austin Cary FL",27,"PIPA","C","LIVE",33.8,1,2,"A","N",NA,1952,1953,2014,"Y",1953,2014,"Y",NA,NA,"B"
