"TreeID","PlotID","Site","Species","Canopy.Class","Live.Dead","DBH..cm.","Stems","Total.Cores","plot","Dated","Pith"
"NWC254","NWC","Niwot","PICO","C","LIVE",11.2,1,2,"C","Y",1938
"NWC261","NWC","Niwot","PICO","C","LIVE",15.9,1,2,"C","Y",1931
"NWC262","NWC","Niwot","PIEN","C","LIVE",14.7,1,2,"C","Y",1920
"NWC263","NWC","Niwot","ABLA","C","LIVE",13.9,1,2,"C","Y",1913.5
"NWC264","NWC","Niwot","ABLA","C","LIVE",16.5,1,2,"C","Y",NA
"NWC311","NWC","Niwot","ABLA","C","LIVE",12.1,1,2,"C","Y",NA
"NWC312","NWC","Niwot","ABLA","C","LIVE",15.6,1,2,"C","Y",1863.5
"NWC313","NWC","Niwot","ABLA","C","LIVE",13.3,1,2,"C","Y",1907.5
"NWC314","NWC","Niwot","ABLA","C","LIVE",17.8,1,2,"C","Y",1896.5
"NWC321","NWC","Niwot","ABLA","C","LIVE",14.6,1,2,"C","Y",1918
"NWC322","NWC","Niwot","ABLA","C","LIVE",16.3,1,2,"C","Y",1918
"NWC323","NWC","Niwot","PIEN","C","LIVE",7.1,1,2,"C","Y",1931
"NWC324","NWC","Niwot","ABLA","C","LIVE",26,1,2,"C","Y",NA
"NWC331","NWC","Niwot","PICO","C","LIVE",20.5,1,2,"C","Y",1936
"NWC332","NWC","Niwot","PICO","C","LIVE",12.8,1,2,"C","Y",1944
"NWC333","NWC","Niwot","PICO","C","LIVE",8.4,1,2,"C","Y",1937
"NWC334","NWC","Niwot","PICO","C","LIVE",19.3,1,2,"C","Y",1929
"NWC341","NWC","Niwot","PICO","C","LIVE",21.8,1,2,"C","Y",1928
"NWC342","NWC","Niwot","ABLA","C","DEAD",14.4,1,2,"C","N",NA
"NWC343","NWC","Niwot","ABLA","C","LIVE",8.7,1,2,"C","Y",1922
"NWC344","NWC","Niwot","ABLA","C","LIVE",24.3,1,2,"C","Y",1922
"NWC351","NWC","Niwot","PIEN","C","LIVE",9.9,1,2,"C","Y",1924
"NWC352","NWC","Niwot","PICO","C","LIVE",19.2,1,2,"C","Y",1929
"NWC353","NWC","Niwot","ABLA","C","DEAD",22.5,1,2,"C","Y",1797.5
"NWC354","NWC","Niwot","PIEN","C","LIVE",9.2,1,2,"C","Y",1922
"NWC361","NWC","Niwot","ABLA","C","LIVE",9.2,1,2,"C","Y",1951
"NWC362","NWC","Niwot","PICO","C","LIVE",24.7,1,2,"C","N",NA
"NWC363","NWC","Niwot","PIEN","C","LIVE",17.1,1,2,"C","Y",1928
"NWC364","NWC","Niwot","PIEN","C","LIVE",20.3,1,2,"C","Y",1913.5
"NWC411","NWC","Niwot","ABLA","C","LIVE",14.3,1,2,"C","Y",1919
"NWC412","NWC","Niwot","ABLA","C","LIVE",15.3,1,2,"C","Y",1915
"NWC413","NWC","Niwot","ABLA","C","LIVE",17.4,1,2,"C","Y",1916
"NWC414","NWC","Niwot","ABLA","C","LIVE",12.2,1,2,"C","Y",1921
"NWC421","NWC","Niwot","ABLA","C","LIVE",18.7,1,2,"C","Y",1908
"NWC422","NWC","Niwot","PICO","C","LIVE",30.2,1,2,"C","Y",1932.5
"NWC423","NWC","Niwot","ABLA","C","LIVE",8,1,2,"C","N",NA
"NWC424","NWC","Niwot","ABLA","C","LIVE",9.4,1,2,"C","Y",1924
"NWC431","NWC","Niwot","ABLA","C","LIVE",10,1,2,"C","Y",1929
"NWC432","NWC","Niwot","ABLA","C","LIVE",7.5,1,2,"C","Y",1923
"NWC433","NWC","Niwot","ABLA","C","LIVE",8,1,2,"C","Y",1927
"NWC434","NWC","Niwot","ABLA","C","LIVE",6.3,1,2,"C","Y",1929
"NWC441","NWC","Niwot","PIEN","C","LIVE",23.5,1,2,"C","Y",1840
"NWC442","NWC","Niwot","PICO","C","LIVE",20.2,1,2,"C","Y",1940
"NWC443","NWC","Niwot","PICO","C","LIVE",12.3,1,2,"C","Y",1939
"NWC444","NWC","Niwot","PIEN","C","LIVE",12.7,1,2,"C","Y",1919
"NWC451","NWC","Niwot","PIEN","C","LIVE",7.6,1,2,"C","Y",1923
"NWC452","NWC","Niwot","PIEN","C","LIVE",16.8,1,2,"C","Y",1805
"NWC453","NWC","Niwot","PICO","C","DEAD",14.1,1,2,"C","N",NA
"NWC454","NWC","Niwot","PIEN","C","LIVE",9.9,1,2,"C","Y",1925
"NWC461","NWC","Niwot","PICO","C","LIVE",22.1,1,2,"C","Y",1931
"NWC462","NWC","Niwot","PIEN","C","LIVE",26.7,1,2,"C","Y",1821
"NWC463","NWC","Niwot","ABLA","C","LIVE",8.5,1,2,"C","Y",1918
"NWC464","NWC","Niwot","ABLA","C","LIVE",15,1,2,"C","Y",1916
"NWC511","NWC","Niwot","PIEN","C","LIVE",11.1,1,2,"C","Y",1899.5
"NWC512","NWC","Niwot","PIEN","C","LIVE",15.6,1,2,"C","Y",1912.5
"NWC513","NWC","Niwot","PICO","C","LIVE",7.8,1,2,"C","Y",1930
"NWC514","NWC","Niwot","ABLA","C","LIVE",13.1,1,2,"C","Y",1912
"NWC521","NWC","Niwot","PIEN","C","LIVE",32.9,1,2,"C","Y",1839
"NWC522","NWC","Niwot","ABLA","C","LIVE",5.8,1,2,"C","Y",1934
"NWC523","NWC","Niwot","PICO","C","LIVE",20.6,1,2,"C","Y",1925
"NWC524","NWC","Niwot","PIEN","C","LIVE",18.3,1,2,"C","Y",1799
"NWC531","NWC","Niwot","ABLA","C","LIVE",6.1,1,2,"C","Y",1945
"NWC532","NWC","Niwot","PIEN","C","LIVE",28.7,1,2,"C","Y",1793
"NWC533","NWC","Niwot","PIEN","C","LIVE",6.4,1,2,"C","N",NA
"NWC534","NWC","Niwot","PICO","C","LIVE",18.1,1,2,"C","Y",1926
"NWC541","NWC","Niwot","ABLA","C","LIVE",8.3,1,2,"C","Y",1916
"NWC542","NWC","Niwot","ABLA","C","LIVE",7.9,1,2,"C","N",NA
"NWC543","NWC","Niwot","ABLA","C","LIVE",8.4,1,2,"C","Y",1922
"NWC544","NWC","Niwot","ABLA","C","LIVE",11.5,1,2,"C","Y",1922
"NWC551","NWC","Niwot","ABLA","C","LIVE",8.2,1,2,"C","Y",1917
"NWC552","NWC","Niwot","PICO","C","LIVE",14.7,1,2,"C","Y",1928
"NWC553","NWC","Niwot","ABLA","C","LIVE",11.3,1,2,"C","Y",1917
"NWC554","NWC","Niwot","ABLA","C","LIVE",17.2,1,2,"C","Y",1916
"NWC561","NWC","Niwot","ABLA","C","LIVE",14.5,1,2,"C","N",NA
"NWC562","NWC","Niwot","ABLA","C","LIVE",6.2,1,2,"C","Y",1917
"NWC563","NWC","Niwot","ABLA","C","LIVE",6.3,1,2,"C","Y",1918
"NWC564","NWC","Niwot","ABLA","C","LIVE",8.3,1,2,"C","N",NA
"NWC611","NWC","Niwot","ABLA","C","DEAD",8.9,1,2,"C","Y",1920
"NWC612","NWC","Niwot","ABLA","C","LIVE",7.7,1,2,"C","N",NA
"NWC613","NWC","Niwot","PICO","C","LIVE",27.2,1,2,"C","Y",1926
"NWC614","NWC","Niwot","PIEN","C","LIVE",17.5,1,2,"C","Y",1920.5
"NWC621","NWC","Niwot","PIEN","C","LIVE",25.1,1,2,"C","Y",1787
"NWC622","NWC","Niwot","ABLA","C","LIVE",16.7,1,2,"C","Y",1913
"NWC623","NWC","Niwot","ABLA","C","LIVE",16.3,1,2,"C","Y",1918
"NWC624","NWC","Niwot","PIEN","C","LIVE",23.2,1,2,"C","N",NA
"NWC631","NWC","Niwot","PICO","C","DEAD",12.5,1,2,"C","N",NA
"NWC632","NWC","Niwot","PIEN","C","LIVE",16.5,1,2,"C","Y",1830
"NWC633","NWC","Niwot","PICO","C","LIVE",25.1,1,2,"C","Y",1968
"NWC634","NWC","Niwot","PICO","C","LIVE",16.2,1,2,"C","Y",1933.5
"NWC641","NWC","Niwot","ABLA","C","LIVE",9.7,1,2,"C","Y",1924.5
"NWC642","NWC","Niwot","ABLA","C","LIVE",9.2,1,2,"C","Y",1933
