"CoreID","TreeID","plot.id","Site","tree.number","species","canopy.class","live.dead","dbh","stems","total.cores","core.id","pith.present","pith.yr","inner.present","inner.measured","outer.measured","bark.present","inner.dated","outer.dated","dated","Notes","zombie","plot","DBH..cm.","pith.offset","outer.present"
"ACC004B","ACC004","ACC","Austin Cary FL",4,"PIPA","C","LIVE",35.3,1,2,"B",NA,NA,1944,1945,2014,"Y",1945,2014,"Y",NA,NA,"C",NA,NA,NA
"ACC005A","ACC005","ACC","Austin Cary FL",5,"PIPA","C","LIVE",29.4,1,2,"A","N",1929,1935,1936,2014,"Y",1936,2014,"Y",NA,NA,"C",NA,NA,NA
"ACC005B","ACC005","ACC","Austin Cary FL",5,"PIPA","C","LIVE",29.4,1,2,"B","Y",1934,1934,1935,2014,"Y",1935,2014,"Y",NA,NA,"C",NA,NA,NA
"ACC006A","ACC006","ACC","Austin Cary FL",6,"PIPA","C","LIVE",30.5,1,2,"A","N",1910,1912,1913,2014,"Y",NA,NA,"N",NA,NA,"C",NA,NA,NA
"ACC006B","ACC006","ACC","Austin Cary FL",6,"PIPA","C","LIVE",30.5,1,2,"B","N",1911,1914,1915,2014,"Y",1915,2014,"Y",NA,NA,"C",NA,NA,NA
"ACC007A","ACC007","ACC","Austin Cary FL",7,"PIPA","C","LIVE",26.3,1,2,"A","N",1911,1914,1915,2014,"Y",1915,2014,"Y",NA,NA,"C",NA,NA,NA
"ACC007B","ACC007","ACC","Austin Cary FL",7,"PIPA","C","LIVE",26.3,1,2,"B","Y",1914,1914,1915,2014,"Y",1915,2014,"Y",NA,NA,"C",NA,NA,NA
"ACC008A","ACC008","ACC","Austin Cary FL",8,"PIPA","C","LIVE",23.5,1,2,"A","N",1910,1914,1915,2013,"Y",1915,2013,"Y",NA,"Y","C",NA,NA,NA
"ACC008B","ACC008","ACC","Austin Cary FL",8,"PIPA","C","LIVE",23.5,1,2,"B",NA,NA,1910,1911,2014,"Y",1911,2014,"Y",NA,NA,"C",NA,NA,NA
"ACC009A","ACC009","ACC","Austin Cary FL",9,"PIPA","C","LIVE",28.5,1,2,"A",NA,NA,1930,1931,2014,"Y",1931,2014,"Y",NA,NA,"C",NA,NA,NA
"ACC009B","ACC009","ACC","Austin Cary FL",9,"PIPA","C","LIVE",28.5,1,2,"B","N",1915,1917,1918,2014,"Y",1918,2014,"Y",NA,NA,"C",NA,NA,NA
