"TreeID","PlotID","Site","Species","Canopy.Class","Live.Dead","DBH..cm.","Stems","Total.Cores","Tree","Basal.Area..cm2.","basal.area..m2.ha.","Density..stems.ha.","notes","Distance","Azimuth","plot"
"HOW2010","HOW2","Howland","PCRU","C","LIVE",21.4,1,2,10,359.7,0.677455621,18.83490451,NA,13.1,41,"2"
"HOW2011","HOW2","Howland","TSCA","I","LIVE",22.5,1,2,11,397.6,0.748890533,18.83490451,NA,10.7,57,"2"
"HOW2012","HOW2","Howland","PCRU","D","LIVE",36.9,1,2,12,1069.4,2.014215976,18.83490451,NA,9.8,70,"2"
"HOW2013","HOW2","Howland","TSCA",NA,"DEAD",12,1,2,13,113.1,0.213017751,18.83490451,NA,8.9,82,"2"
"HOW2014","HOW2","Howland","TSCA","C","LIVE",31.9,1,2,14,799.2,1.505340237,18.83490451,NA,7.7,88,"2"
"HOW2015","HOW2","Howland","THOC","I","LIVE",27.8,1,2,15,607,1.143254438,18.83490451,NA,10.2,79,"2"
"HOW2016","HOW2","Howland","PCRU","D","LIVE",28.1,1,2,16,620.2,1.16806213,18.83490451,NA,12.7,89,"2"
"HOW2017","HOW2","Howland","PCRU","C","LIVE",26.3,1,2,17,543.3,1.023210059,18.83490451,NA,16.1,89,"2"
"HOW2018","HOW2","Howland","ACRU","C","LIVE",33,1,2,18,855.3,1.610946746,18.83490451,NA,19.8,80,"2"
"HOW2019","HOW2","Howland","PCRU","C","LIVE",28.8,1,2,19,651.4,1.226982249,18.83490451,NA,16.5,63,"2"
"HOW2020","HOW2","Howland","PCRU","C","LIVE",30.5,1,2,20,730.6,1.376109467,18.83490451,NA,15.6,60,"2"
"HOW2021","HOW2","Howland","TSCA","I","LIVE",28.3,1,2,21,629,1.184748521,18.83490451,NA,18.1,60,"2"
"HOW2022","HOW2","Howland","PCRU","C","LIVE",39.1,1,2,22,1200.7,2.261553254,18.83490451,NA,17.8,43,"2"
"HOW2023","HOW2","Howland","TSCA","I","LIVE",28.3,1,2,23,629,1.184748521,18.83490451,NA,18.1,60,"2"
"HOW2024","HOW2","Howland","PCRU","C","LIVE",41.3,1,2,24,1339.6,2.523210059,18.83490451,NA,15.6,25,"2"
"HOW2025","HOW2","Howland","ACRU","C","LIVE",25.7,1,2,25,518.7,0.977056213,18.83490451,NA,17.6,18,"2"
"HOW2026","HOW2","Howland","TSCA","C","LIVE",36.5,1,2,26,1046.3,1.970784024,18.83490451,NA,18.1,10,"2"
"HOW2027","HOW2","Howland","PIST",NA,"DEAD",66.6,1,2,27,3483.7,6.56147929,18.83490451,NA,18.8,8,"2"
"HOW2028","HOW2","Howland","TSCA","C","LIVE",23.7,1,2,28,441.2,0.830902367,18.83490451,NA,13.7,15,"2"
"HOW2029","HOW2","Howland","PCRU","C","LIVE",16.6,1,2,29,216.4,0.407633136,18.83490451,NA,12.4,20,"2"
"HOW2030","HOW2","Howland","TSCA","C","LIVE",34,1,2,30,907.9,1.710059172,18.83490451,NA,11.1,26,"2"
"HOW2031","HOW2","Howland","TSCA","S","LIVE",11.8,1,2,31,109.4,0.205976331,18.83490451,NA,1.1,317,"2"
"HOW2032","HOW2","Howland","ACRU","C","LIVE",28,1,2,32,615.8,1.159763314,18.83490451,NA,1.9,343,"2"
"HOW2033","HOW2","Howland","TSCA","C","LIVE",37.8,1,2,33,1122.2,2.113668639,18.83490451,NA,1.9,343,"2"
"HOW2034","HOW2","Howland","PCRU","C","LIVE",34.1,1,2,34,913.3,1.720133136,18.83490451,NA,3.4,308,"2"
"HOW2035","HOW2","Howland","PCRU","C","LIVE",34.3,1,2,35,924,1.740369822,18.83490451,NA,5.6,329,"2"
"HOW2036","HOW2","Howland","PCRU","S","LIVE",14.3,1,2,36,160.6,0.3025,18.83490451,NA,5.3,353,"2"
"HOW2037","HOW2","Howland","TSCA","C","LIVE",22.7,1,2,37,404.7,0.762263314,18.83490451,NA,7.2,350,"2"
"HOW2038","HOW2","Howland","TSCA","C","LIVE",23.1,1,2,38,419.1,0.789363905,18.83490451,NA,8.3,328,"2"
"HOW2039","HOW2","Howland","ACRU","C","LIVE",15.2,1,2,39,181.5,0.341775148,18.83490451,NA,9,350,"2"
"HOW2040","HOW2","Howland","TSCA","S","LIVE",10.2,1,2,40,81.7,0.153905325,18.83490451,NA,9.4,330,"2"
"HOW2041","HOW2","Howland","TSCA","I","LIVE",19.1,1,2,41,286.5,0.539659763,18.83490451,NA,9,323,"2"
"HOW2042","HOW2","Howland","TSCA","I","LIVE",28.1,1,2,42,620.2,1.16806213,18.83490451,NA,12.3,351,"2"
"HOW2043","HOW2","Howland","ACRU","C","LIVE",32.1,1,2,43,809.3,1.524275148,18.83490451,NA,13.9,308,"2"
"HOW2044","HOW2","Howland","TSCA","D","LIVE",45.9,1,2,44,1654.7,3.11658284,18.83490451,NA,14.1,347,"2"
"HOW2045","HOW2","Howland","THOC","C","LIVE",27.7,1,2,45,602.6,1.135044379,18.83490451,NA,17.3,357,"2"
"HOW2046","HOW2","Howland","PIST",NA,"DEAD",56.3,1,2,46,2489.5,4.688890533,18.83490451,NA,17.3,357,"2"
"HOW2047","HOW2","Howland","PCRU","D","LIVE",21.2,1,2,47,353,0.664852071,18.83490451,NA,18.2,356,"2"
"HOW2048","HOW2","Howland","ACRU","C","LIVE",23.4,1,2,48,430.1,0.81,18.83490451,NA,14.8,327,"2"
"HOW2049","HOW2","Howland","PCRU","D","LIVE",24.9,1,2,49,487,0.917174556,18.83490451,NA,13.9,329,"2"
"HOW2050","HOW2","Howland","THOC","I","LIVE",26.9,1,2,50,568.3,1.070428994,18.83490451,NA,14,298,"2"
